ID_transaccion,proveedor_id,fecha_factura,fecha_vencimiento,monto,condiciones_pago,estado_pago,dias_credito,descuento_pronto_pago,penalizacion_mora,metodo_pago,aprobador,duplicate_has_anomaly,duplicate_type,duplicate_description,format_has_anomaly,format_type,format_description,temporal_has_anomaly,temporal_type,temporal_description,business_rules_has_anomaly,business_rules_type,business_rules_description,approver_has_anomaly,approver_type,approver_description,amount_has_anomaly,amount_type,amount_description,discount_penalty_has_anomaly,discount_penalty_type,discount_penalty_description,cross_consistency_has_anomaly,cross_consistency_type,cross_consistency_description,total_anomalies,has_any_anomaly
1,1051,2022-11-24,2023-12-07,3254.23,90 días,Pendiente,60,10,1,Efectivo,Bob,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (378 días) vs esperada (90 días): 288 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '90 días' (esperado: 90 días) vs dias_credito otorgados: 60 días,False,,,False,,,False,,,True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pendiente' pero ya venció (2023-12-07),3,True
2,1092,2022-02-27,2023-12-14,9045.23,60 días,Pendiente,30,5,0,Efectivo,Alice,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (655 días) vs esperada (60 días): 595 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '60 días' (esperado: 60 días) vs dias_credito otorgados: 30 días,False,,,False,,,False,,,True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pendiente' pero ya venció (2023-12-14),3,True
3,1014,2022-01-13,2023-11-26,868.64,90 días,Pendiente,90,10,2,Cheque,Bob,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (682 días) vs esperada (90 días): 592 días de diferencia,False,,,False,,,False,,,False,,,True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pendiente' pero ya venció (2023-11-26),2,True
4,1071,2022-05-21,2023-07-18,8305.83,90 días,Pendiente,90,10,2,Cheque,Bob,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (423 días) vs esperada (90 días): 333 días de diferencia,False,,,False,,,False,,,False,,,True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pendiente' pero ya venció (2023-07-18),2,True
5,1060,2022-05-06,2023-03-19,3554.01,30 días,Retrasado,60,5,0,Cheque,David,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (317 días) vs esperada (30 días): 287 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '30 días' (esperado: 30 días) vs dias_credito otorgados: 60 días,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Descuento de 5% aplicado a pago retrasado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Retrasado' pero tiene descuento pronto pago (5%),4,True
6,1020,2022-04-25,2023-10-14,5263.83,60 días,Pendiente,60,5,0,Efectivo,Charlie,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (537 días) vs esperada (60 días): 477 días de diferencia,False,,,False,,,False,,,False,,,True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pendiente' pero ya venció (2023-10-14),2,True
7,1082,2022-03-13,2023-11-11,7965.41,30 días,Pendiente,30,0,2,Transferencia,Charlie,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (608 días) vs esperada (30 días): 578 días de diferencia,False,,,False,,,False,,,False,,,True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pendiente' pero ya venció (2023-11-11),2,True
8,1086,2022-02-22,2023-01-29,8855.33,30 días,Pendiente,60,5,0,Cheque,Alice,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (341 días) vs esperada (30 días): 311 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '30 días' (esperado: 30 días) vs dias_credito otorgados: 60 días,False,,,False,,,False,,,True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pendiente' pero ya venció (2023-01-29),3,True
9,1074,2022-12-13,2023-01-07,3513.34,60 días,Retrasado,60,0,1,Efectivo,Alice,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (25 días) vs esperada (60 días): 35 días de diferencia,False,,,False,,,False,,,False,,,False,,,1,True
10,1074,2022-10-07,2023-11-27,4672.25,30 días,Retrasado,30,10,0,Transferencia,Bob,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (416 días) vs esperada (30 días): 386 días de diferencia,False,,,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Descuento de 10% aplicado a pago retrasado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Retrasado' pero tiene descuento pronto pago (10%),3,True
11,1087,2022-02-14,2023-03-23,4203.71,60 días,Retrasado,60,0,0,Efectivo,Charlie,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (402 días) vs esperada (60 días): 342 días de diferencia,False,,,False,,,False,,,False,,,False,,,1,True
12,1099,2022-10-30,2023-09-17,231.19,60 días,Pagado,60,5,0,Transferencia,Bob,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (322 días) vs esperada (60 días): 262 días de diferencia,False,,,False,,,False,,,False,,,False,,,1,True
13,1023,2022-08-05,2023-08-30,3029.83,30 días,Retrasado,90,10,0,Efectivo,David,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (390 días) vs esperada (30 días): 360 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '30 días' (esperado: 30 días) vs dias_credito otorgados: 90 días,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Descuento de 10% aplicado a pago retrasado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Retrasado' pero tiene descuento pronto pago (10%),4,True
