fecha,proveedor_id,score_cumplimiento,is_outlier,year,month,quarter,day_of_week,day_of_month,week_of_year,is_month_start,is_month_end,is_quarter_start,is_quarter_end,risk_target,categoria_gasto_Logística,categoria_gasto_Materiales,categoria_gasto_Servicios,categoria_gasto_Tecnología,método_pago_Cheque,método_pago_Efectivo,método_pago_Transferencia,indicadores_economicos_encoded,estacionalidad_encoded,monto_scaled,tiempo_procesamiento_scaled
2020-01-04,1071,0.24,False,2020,1,1,5,4,1,0,0,0,0,1,False,False,True,False,False,True,False,2,1,-1.3665376458014065,-0.38477741390588716
2020-01-01,1060,0.91,False,2020,1,1,2,1,1,1,0,1,0,0,False,False,False,True,True,False,False,2,1,-1.5074523308492198,0.0004282442002291439
2020-01-24,1020,0.59,False,2020,1,1,4,24,4,0,0,0,0,0,False,False,True,False,True,False,False,2,1,-1.4288723051527785,0.0004282442002291439
2020-01-09,1082,0.35,False,2020,1,1,3,9,2,0,0,0,0,1,False,True,False,False,False,True,False,2,1,-1.4317964710948912,0.7708395604124618
2020-01-08,1086,0.71,False,2020,1,1,2,8,2,0,0,0,0,0,True,False,False,False,True,False,False,0,1,-1.2449509844197508,-0.38477741390588716
2020-01-08,1074,0.48,False,2020,1,1,2,8,2,0,0,0,0,1,False,False,False,True,False,True,False,0,1,-1.2383181202095934,-1.5403943882242361
2020-01-05,1074,0.38,False,2020,1,1,6,5,1,0,0,0,0,1,False,True,False,False,True,False,False,0,1,-1.472861587387646,0.0004282442002291439
2020-01-24,1087,0.71,False,2020,1,1,4,24,4,0,0,0,0,0,True,False,False,False,False,True,False,0,1,-1.1196318510632037,0.7708395604124618
2020-01-04,1099,0.25,False,2020,1,1,5,4,1,0,0,0,0,1,True,False,False,False,False,True,False,2,1,-1.423523221112329,0.3856339023063455
2020-01-22,1023,0.33,False,2020,1,1,2,22,4,0,0,0,0,1,False,False,True,False,True,False,False,1,1,-1.1284201980274386,0.0004282442002291439
2020-01-24,1002,0.43,False,2020,1,1,4,24,4,0,0,0,0,1,False,True,False,False,True,False,False,2,1,-1.3635500833077037,-0.38477741390588716
2020-01-18,1021,0.25,False,2020,1,1,5,18,3,0,0,0,0,1,True,False,False,False,True,False,False,1,1,-1.5206863609937395,-1.1551887301181198
2020-01-03,1052,0.41,False,2020,1,1,4,3,1,0,0,0,0,1,False,False,False,True,False,False,True,0,1,-1.3909690918706006,-0.38477741390588716
