ID_transaccion,proveedor_id,fecha_factura,fecha_vencimiento,monto,condiciones_pago,estado_pago,dias_credito,descuento_pronto_pago,penalizacion_mora,metodo_pago,aprobador
1,1051,2022-11-24,2023-12-07,3254.23,90 días,Pendiente,60,10,1,Efectivo,Bob
2,1092,2022-02-27,2023-12-14,9045.23,60 días,Pendiente,30,5,0,Efectivo,Alice
3,1014,2022-01-13,2023-11-26,868.64,90 días,Pendiente,90,10,2,Cheque,Bob
4,1071,2022-05-21,2023-07-18,8305.83,90 días,Pendiente,90,10,2,Cheque,Bob
5,1060,2022-05-06,2023-03-19,3554.01,30 días,Retrasado,60,5,0,Cheque,David
6,1020,2022-04-25,2023-10-14,5263.83,60 días,Pendiente,60,5,0,Efectivo,Charlie
7,1082,2022-03-13,2023-11-11,7965.41,30 días,Pendiente,30,0,2,Transferencia,Charlie
8,1086,2022-02-22,2023-01-29,8855.33,30 días,Pendiente,60,5,0,Cheque,Alice
9,1074,2022-12-13,2023-01-07,3513.34,60 días,Retrasado,60,0,1,Efectivo,Alice
10,1074,2022-10-07,2023-11-27,4672.25,30 días,Retrasado,30,10,0,Transferencia,Bob
11,1087,2022-02-14,2023-03-23,4203.71,60 días,Retrasado,60,0,0,Efectivo,Charlie
12,1099,2022-10-30,2023-09-17,231.19,60 días,Pagado,60,5,0,Transferencia,Bob
13,1023,2022-08-05,2023-08-30,3029.83,30 días,Retrasado,90,10,0,Efectivo,David
14,1002,2022-01-17,2023-09-12,4645.97,30 días,Pendiente,90,0,2,Transferencia,David
15,1021,2022-01-16,2023-03-27,4169.83,90 días,Retrasado,90,0,2,Cheque,Bob
16,1052,2022-02-17,2023-02-09,7247.1,30 días,Retrasado,60,0,2,Efectivo,Bob
17,1001,2022-04-22,2023-09-10,3909.56,60 días,Pendiente,30,10,2,Transferencia,Bob
18,1087,2022-04-30,2023-06-15,4944.83,90 días,Retrasado,90,0,1,Transferencia,John Doe
19,1029,2022-09-16,2023-05-05,4353.13,60 días,Pagado,60,0,1,Transferencia,Bob
20,1037,2022-11-05,2023-06-20,7432.2,90 días,Retrasado,90,5,2,Cheque,David
21,1001,2022-01-14,2023-05-24,8643.43,30 días,Pagado,30,0,2,Efectivo,David
22,1063,2022-10-15,2023-01-27,5365.7,30 días,Pagado,30,10,2,Transferencia,David
23,1059,2022-04-12,2023-09-18,7915.38,30 días,Pagado,30,5,0,Cheque,Alice
24,1020,2022-11-29,2023-04-26,3038.19,60 días,Pendiente,30,10,1,Cheque,David
25,1032,2022-12-26,2023-10-10,5459.56,90 días,Retrasado,30,5,1,Cheque,Charlie
26,1075,2022-10-07,2023-11-27,3517.78,60 días,Pagado,30,5,0,Cheque,Charlie
27,1057,2022-08-03,2023-07-14,4200.59,90 días,Pagado,60,0,0,Cheque,Bob
28,1021,2022-04-23,2023-07-27,7350.9,30 días,Retrasado,90,10,0,Cheque,David
29,1088,2022-08-18,2023-05-02,8828.46,60 días,Pendiente,30,0,1,Cheque,Bob
30,1048,2022-10-29,2023-02-11,1302.8,30 días,Pendiente,90,5,0,Efectivo,Bob
31,1090,2022-05-23,2023-08-25,6382.93,60 días,Pagado,90,0,0,Efectivo,Charlie
32,1058,2022-01-04,2023-08-17,5863.22,30 días,Pendiente,60,5,0,Cheque,Charlie
33,1041,2022-03-23,2023-10-22,1272.31,60 días,Retrasado,-30,5,2,Transferencia,Bob
34,1091,2022-12-24,2023-08-19,3307.447557095138,60 días,Pendiente,30,10,0,Transferencia,Charlie
35,1059,2022-08-05,2023-02-16,3178.92,90 días,Retrasado,60,10,2,Transferencia,Bob
36,1079,2022-06-24,2023-09-14,1752.62,30 días,Pagado,60,10,1,Cheque,Bob
37,1014,2022-05-23,2023-08-18,2512.92,90 días,Retrasado,60,10,1,Transferencia,Bob
38,1061,2022-03-21,2023-06-12,2749.25,90 días,Pagado,60,0,1,Efectivo,Alice
39,1061,2022-04-21,2023-03-03,3423.17,30 días,Retrasado,60,10,2,Efectivo,Charlie
40,1046,2022-06-22,2023-09-13,7518.97,60 días,Retrasado,90,10,0,Efectivo,Charlie
41,1061,2022-02-22,2023-12-02,9551.085614603944,90 días,Pendiente,60,10,1,Efectivo,David
42,1050,2022-02-17,2023-01-11,9863.84,30 días,Retrasado,30,5,0,Cheque,Charlie
43,1054,2022-07-14,2023-02-23,4205.88,60 días,Pagado,30,5,2,Efectivo,David
44,1063,2022-02-19,2023-07-27,7563.26,90 días,Retrasado,60,10,1,Transferencia,Bob
45,1002,2022-07-03,2023-08-01,8727.54,90 días,Pagado,60,5,0,Transferencia,Alice
46,1050,2022-06-26,2023-01-20,6821.89,90 días,Pagado,60,5,0,Efectivo,Bob
47,1006,2022-11-06,2023-10-14,4177.46,60 días,Retrasado,60,0,1,Efectivo,Bob
48,1020,2022-05-16,2023-10-10,7560.59,90 días,Pendiente,60,5,0,Efectivo,Bob
49,1072,2022-01-23,2023-01-02,2116.3,60 días,Retrasado,30,0,2,Transferencia,David
50,1038,2022-08-24,2023-02-17,3342.77,90 días,Retrasado,90,5,1,Transferencia,Alice
51,1017,2022-10-02,2023-11-07,5512.18,30 días,Pendiente,60,10,1,Efectivo,Bob
52,1003,2022-03-05,2023-11-14,5796.55,90 días,Pagado,60,5,1,Transferencia,David
53,1088,2022-07-13,2023-11-24,319.2,30 días,Retrasado,60,5,1,Transferencia,Bob
54,1059,2022-02-10,2023-06-06,9456.63,30 días,Pendiente,30,0,2,Cheque,Alice
55,1013,2022-10-10,2023-09-19,6996.61,30 días,Pendiente,30,10,2,Efectivo,Bob
56,1008,2022-05-31,2023-10-16,5007.47,60 días,Pagado,90,0,0,Efectivo,Bob
57,1089,2022-11-18,2023-04-17,9337.96,30 días,Pendiente,90,10,2,Cheque,Charlie
58,1052,2022-11-13,2023-12-03,4447.05,90 días,Pagado,90,10,0,Cheque,David
59,1001,2022-07-05,2023-12-11,9806.31,60 días,Retrasado,90,0,0,Transferencia,Alice
60,1083,2022-10-23,2023-08-23,5171.62,30 días,Pendiente,30,5,1,Cheque,David
61,1091,2022-04-09,2023-06-25,1231.43,60 días,Retrasado,90,10,0,Efectivo,Charlie
62,1059,2022-12-27,2023-07-07,7671.53,60 días,Pendiente,60,5,1,Efectivo,Bob
63,1070,2022-02-05,2023-01-29,6821.09,60 días,Pendiente,30,0,0,Efectivo,Alice
64,1043,2022-01-24,2023-04-26,7752.57,90 días,Retrasado,30,0,2,Transferencia,Alice
65,1007,2022-12-05,2023-08-22,9519.28,30 días,Pendiente,30,0,1,Transferencia,David
66,1046,2022-04-27,2023-06-20,7787.24,60 días,Retrasado,60,0,0,Efectivo,Bob
67,1034,2022-05-29,2023-10-15,6152.23,60 días,Retrasado,30,10,2,Efectivo,Charlie
68,1077,2022-02-10,2023-11-15,8587.36,60 días,Pagado,60,0,2,Transferencia,Bob
69,1080,2022-04-30,2023-11-05,6765.14,30 días,Retrasado,90,5,1,Transferencia,David
70,1035,2022-02-21,2023-09-01,4140.38,60 días,Pagado,30,5,1,Cheque,Alice
71,1049,2022-07-14,2023-12-04,8867.64,60 días,Retrasado,60,10,1,Transferencia,Alice
72,1003,2022-05-23,2023-07-07,2296.81,90 días,Pendiente,30,0,0,Transferencia,Bob
73,1001,2022-08-21,2023-08-21,7174.95,30 días,Retrasado,90,10,1,Efectivo,Bob
74,1005,2022-11-22,2023-03-01,8827.48,90 días,Pendiente,30,10,2,Efectivo,Bob
75,1053,2022-07-06,2023-02-20,7340.03,30 días,Pagado,90,10,2,Efectivo,Bob
76,1003,2022-03-25,2023-12-05,7003.03,30 días,Pendiente,30,0,1,Cheque,Charlie
77,1053,2022-07-09,2023-04-25,7551.12,30 días,Retrasado,60,5,1,Transferencia,Charlie
78,1092,2022-07-01,2023-01-03,4704.05,90 días,Pendiente,90,5,2,Cheque,Charlie
79,1062,2022-04-18,2023-06-25,8754.29,90 días,Pagado,30,10,0,Transferencia,Charlie
80,1017,2022-12-10,2023-07-02,2114.02,90 días,Pendiente,90,10,2,Transferencia,David
81,1089,2022-05-17,2023-11-22,1361.13,90 días,Pendiente,90,5,2,Efectivo,Alice
82,1043,2022-12-26,2023-05-31,2926.54,60 días,Retrasado,60,5,2,Transferencia,Alice
83,1033,2022-12-16,2023-10-09,5362.62,60 días,Retrasado,60,0,1,Cheque,David
84,1073,2022-11-28,2023-09-26,5154.56,60 días,Pendiente,60,10,0,Efectivo,David
85,1061,2022-02-06,2023-07-12,8223.93,30 días,Pagado,60,0,0,Cheque,Charlie
86,1099,2022-11-08,2023-12-27,4105.23,60 días,Pendiente,90,5,1,Cheque,Bob
87,1013,2022-11-22,2023-02-25,4895.01,30 días,Pagado,90,5,2,Efectivo,Alice
88,1094,2022-03-29,2023-01-25,232.34,90 días,Pagado,30,5,1,Transferencia,David
89,1047,2022-10-01,2023-03-27,4156.42,30 días,Pagado,30,5,1,Cheque,Bob
90,1014,2022-05-06,2023-09-11,11194.089926369894,30 días,Pendiente,30,0,0,Transferencia,Charlie
91,1071,2022-03-25,2023-03-14,253.53,60 días,Pagado,60,5,0,Efectivo,David
92,1077,2022-08-25,2023-07-30,2880.73,90 días,Pendiente,90,10,1,Transferencia,Alice
93,1086,2022-07-14,2023-02-25,2158.77,90 días,Pagado,90,5,1,Transferencia,Alice
94,1061,2022-05-19,2023-05-12,515.66,60 días,Pagado,30,10,0,Efectivo,Alice
95,1039,2022-11-24,2023-11-10,4844.67,90 días,Pendiente,30,5,0,Transferencia,David
96,1084,2022-12-19,2023-04-12,1899.06,90 días,Retrasado,90,0,2,Cheque,Alice
97,1079,2022-10-13,2023-04-08,7456.51,90 días,Retrasado,60,10,1,Cheque,Charlie
98,1081,2022-04-23,2023-03-04,8494.49,60 días,Pendiente,30,0,2,Cheque,Alice
99,1052,2022-12-17,2023-07-22,5501.29,90 días,Pendiente,30,5,2,Transferencia,Unauthorized User
100,1023,2022-06-16,2023-04-22,9818.9,30 días,Retrasado,90,0,2,Cheque,Alice
101,1025,2022-01-29,2023-08-24,4559.74,30 días,Retrasado,90,5,0,Transferencia,Charlie
102,1088,2022-04-28,2023-04-09,5182.35,90 días,Retrasado,30,0,2,Transferencia,David
103,1059,2022-01-17,2023-06-24,9893.26,60 días,Pendiente,30,0,0,Transferencia,Charlie
104,1040,2022-06-11,2023-02-26,2392.33,60 días,Pagado,60,10,0,Transferencia,David
105,1028,2022-07-25,2023-08-02,9431.2,60 días,Pendiente,60,5,0,Efectivo,Bob
106,1014,2022-05-18,2023-01-25,524.09,90 días,Retrasado,60,0,1,Cheque,Charlie
107,1044,2022-02-03,2023-11-22,4519.23,90 días,Pagado,60,5,2,Cheque,David
108,1064,2022-04-19,2023-12-12,793.03,30 días,Pendiente,30,10,0,Transferencia,Bob
109,1088,2022-10-18,2023-10-30,7319.42,60 días,Retrasado,30,0,1,Efectivo,Alice
110,1070,2022-06-11,2023-03-06,6123.25,30 días,Pendiente,-30,5,1,Transferencia,Bob
111,1008,2022-04-19,2023-08-20,7095.68,30 días,Pagado,60,0,1,Cheque,Charlie
112,1087,2022-12-02,2023-08-24,3807.36,60 días,Retrasado,30,0,0,Cheque,Bob
113,1000,2022-09-13,2023-12-05,3757.87,90 días,Pendiente,90,0,0,Efectivo,Alice
114,1007,2022-07-22,2023-10-30,548.66,90 días,Pagado,60,0,0,Transferencia,Bob
115,1087,2022-11-26,2023-09-17,3564.45,30 días,Pagado,90,10,1,Efectivo,Charlie
116,1062,2022-08-23,2023-03-11,9299.96,30 días,Pendiente,60,10,0,Transferencia,Charlie
117,1010,2022-03-15,2023-09-14,8385.037275656905,30 días,Pagado,30,5,2,Efectivo,David
118,1080,2022-05-16,2023-01-04,8330.54,30 días,Retrasado,60,5,0,Cheque,Alice
119,1007,2022-03-13,2023-09-30,8439.02,60 días,Pagado,90,0,0,Efectivo,Alice
120,1034,2022-05-07,2023-01-26,3795.09,30 días,Pendiente,60,0,2,Cheque,Bob
121,1034,2022-10-15,2023-10-12,6356.69,30 días,Retrasado,90,0,0,Cheque,Alice
122,1032,2022-10-03,2023-08-11,1044.18,90 días,Pagado,30,10,0,Transferencia,Charlie
123,1004,2022-05-15,2023-10-28,1126.42,90 días,Pagado,90,0,0,Efectivo,Bob
124,1040,2022-10-27,2023-09-06,581.71,90 días,Retrasado,30,5,0,Efectivo,David
125,1027,2022-08-08,2023-09-19,5852.05,60 días,Retrasado,90,0,1,Efectivo,Bob
126,1006,2022-10-26,2023-04-02,4318.1,60 días,Pagado,30,10,0,Efectivo,Bob
127,1072,2022-07-24,2023-12-22,5525.52,90 días,Retrasado,90,0,2,Transferencia,David
128,1071,2022-07-05,2023-10-25,5258.62,90 días,Pendiente,30,10,2,Transferencia,Bob
129,1011,2022-04-23,2023-03-31,3567.01,30 días,Pagado,30,10,1,Transferencia,Alice
130,1033,2022-03-12,2023-03-08,6806.99,30 días,Pendiente,30,10,0,Cheque,Bob
131,1032,2022-09-18,2023-02-24,7609.17,60 días,Pagado,90,10,2,Cheque,Bob
132,1047,2022-09-10,2023-07-19,244.82,60 días,Pendiente,90,5,1,Cheque,Bob
133,1022,2022-02-16,2023-12-04,5161.494498831014,30 días,Pendiente,30,10,0,Transferencia,Charlie
134,1061,2022-01-25,2023-11-05,7161.04,90 días,Retrasado,60,5,1,Cheque,Charlie
135,1087,2022-02-26,2023-11-08,3927.54,30 días,Pagado,30,5,0,Efectivo,Alice
136,1036,2022-03-20,2023-06-15,6658.59,60 días,Retrasado,60,0,1,Cheque,David
137,1098,2022-11-18,2023-09-17,3534.93,60 días,Retrasado,30,0,1,Transferencia,Charlie
138,1043,2022-03-23,2023-07-17,3968.48,30 días,Pagado,90,10,2,Transferencia,Charlie
139,1085,2022-12-15,2023-08-04,1670.92,30 días,Pendiente,60,0,2,Transferencia,Alice
140,1090,2022-08-05,2023-11-09,2656.49,30 días,Pagado,90,10,1,Transferencia,Alice
141,1034,2022-11-02,2023-12-22,6093.58,60 días,Pagado,60,0,0,Efectivo,David
142,1064,2022-02-02,2023-05-09,4388.31,90 días,Pagado,60,10,0,Cheque,Bob
143,1098,2022-07-17,2023-05-22,7765.6,30 días,Retrasado,60,0,0,Cheque,Bob
144,1046,2022-07-15,2023-07-24,8540.59,60 días,Pagado,60,0,0,Transferencia,David
145,1077,2022-11-02,2023-06-26,5462.3,60 días,Pagado,90,5,0,Cheque,David
146,1002,2022-08-28,2023-06-01,7606.85,60 días,Pagado,60,0,2,Efectivo,David
147,1000,2022-09-28,2023-08-21,3138.35,30 días,Pendiente,30,0,1,Transferencia,Alice
148,1004,2022-05-09,2023-03-11,4208.22,30 días,Pendiente,30,10,2,Cheque,Bob
149,1089,2022-10-11,2023-03-13,7156.5,90 días,Pendiente,60,5,0,Cheque,David
150,1013,2022-01-06,2023-08-01,3923.5,60 días,Pendiente,90,10,1,Cheque,David
151,1026,2022-12-15,2023-11-06,5926.2,30 días,Retrasado,90,0,0,Cheque,Bob
152,1008,2022-02-28,2023-12-26,1935.19,60 días,Retrasado,60,10,0,Transferencia,Bob
153,1078,2022-12-16,2023-09-21,6037.74,60 días,Pagado,90,5,1,Transferencia,Alice
154,1014,2022-10-02,2023-06-04,8628.99,90 días,Retrasado,90,10,0,Efectivo,Charlie
155,1089,2022-05-17,2023-12-27,8699.53,30 días,Pendiente,90,0,2,Transferencia,Charlie
156,1041,2022-11-25,2023-10-09,7271.01,30 días,Pagado,60,10,2,Cheque,Alice
157,1076,2022-06-24,2023-06-11,7482.96,60 días,Pagado,30,0,2,Cheque,Alice
158,1050,2022-02-27,2023-10-12,5623.48,60 días,Pendiente,30,5,0,Cheque,Bob
159,1062,2022-05-31,2023-11-21,5888.21,90 días,Pendiente,30,5,2,Efectivo,Alice
160,1095,2022-08-11,2023-04-23,1423.14,90 días,Pendiente,30,10,0,Transferencia,Alice
161,1051,2022-03-22,2023-04-14,4494.21,90 días,Retrasado,30,5,0,Transferencia,David
162,1095,2022-08-21,2023-04-19,4562.69,90 días,Pagado,90,10,2,Transferencia,Alice
163,1003,2022-01-02,2023-11-17,9589.13,90 días,Pendiente,90,0,2,Cheque,Alice
164,1093,2022-05-15,2023-05-30,4367.76,90 días,Pagado,90,10,0,Cheque,David
165,1022,2022-09-14,2023-12-19,5538.49,60 días,Pagado,60,0,0,Cheque,Bob
166,1014,2022-04-02,2023-06-27,5379.19,90 días,Retrasado,90,5,0,Efectivo,Bob
167,1042,2022-09-17,2023-12-12,6403.94,60 días,Pagado,30,0,0,Efectivo,Alice
168,1028,2022-02-24,2023-03-10,7507.51,60 días,Pendiente,90,0,2,Cheque,Alice
169,1035,2022-11-17,2023-12-31,2327.91,30 días,Pendiente,30,0,0,Efectivo,Charlie
170,1012,2022-06-02,2023-11-30,5334.37,60 días,Pagado,90,0,0,Efectivo,David
171,1031,2022-11-24,2023-04-03,8276.59,60 días,Pagado,30,0,0,Efectivo,Charlie
172,1070,2022-09-17,2023-09-16,4684.84,90 días,Retrasado,90,10,0,Transferencia,Alice
173,1058,2022-11-08,2023-10-06,2856.73,60 días,Pendiente,30,0,0,Efectivo,Charlie
174,1085,2022-04-12,2023-12-23,6581.62,90 días,Pendiente,30,0,1,Cheque,Charlie
175,1027,2022-03-20,2023-11-24,8255.3,90 días,Pagado,60,0,1,Transferencia,Bob
176,1065,2022-07-11,2023-06-16,725.09,90 días,Pagado,90,0,1,Efectivo,David
177,1041,2022-03-24,2023-12-31,7790.23,30 días,Pagado,30,0,2,Cheque,Bob
178,1044,2022-10-04,2023-03-02,8234.31,90 días,Pendiente,90,0,0,Efectivo,Bob
179,1061,2022-09-29,2023-07-01,4669.08,60 días,Pagado,30,5,2,Cheque,Charlie
180,1056,2022-01-01,2023-10-16,9834.73,90 días,Retrasado,60,10,0,Cheque,David
181,1005,2022-11-03,2023-09-04,7888.41,90 días,Retrasado,60,0,1,Efectivo,Alice
182,1027,2022-06-15,2023-10-27,7759.26,90 días,Pagado,60,10,0,Efectivo,David
183,1027,2022-09-08,2023-10-21,7503.6,30 días,Retrasado,60,5,2,Transferencia,Bob
184,1043,2022-01-10,2023-12-09,1591.02,60 días,Retrasado,30,5,2,Efectivo,Charlie
185,1083,2022-02-27,2023-12-31,2250.59,30 días,Retrasado,90,0,0,Cheque,Alice
186,1029,2022-07-05,2023-08-03,4693.5,60 días,Retrasado,60,10,2,Transferencia,Bob
187,1061,2022-06-07,2023-12-13,2713.64,30 días,Retrasado,60,0,1,Cheque,Charlie
188,1074,2022-05-03,2023-10-02,4210.89,60 días,Pendiente,60,5,0,Cheque,Bob
189,1091,2022-01-30,2023-05-28,8895.79,30 días,Pagado,90,5,1,Efectivo,Charlie
190,1088,2022-05-04,2023-08-06,8260.84,90 días,Retrasado,30,10,1,Cheque,David
191,1061,2022-10-18,2023-01-08,6337.39,30 días,Pagado,30,0,2,Efectivo,Bob
192,1096,2022-02-10,2023-09-26,8595.39,30 días,Retrasado,30,10,0,Cheque,David
