tipo_caso,nivel_complejidad,fecha_incidencia,descripcion,monto_involucrado,estado,responsable,comentarios
Proveedor VIP,Bajo,2022-05-21,Descripción del caso 251,11937.33,En Proceso,Alice,Comentario adicional 87
Proveedor VIP,Alto,2022-08-05,Descripción del caso 33,2460.06,Abierto,Bob,Comentario adicional 65
Pago Urgente,Alto,2022-04-12,Descripción del caso 734,32844.34,En Proceso,David,Comentario adicional 29
Ajuste Contable,Alto,2022-05-23,Descripción del caso 829,43595.72,Abierto,David,Comentario adicional 44
Excepción Regulatoria,Bajo,2022-04-21,Descripción del caso 981,38411.21,Abierto,Alice,Comentario adicional 49
Proveedor VIP,Medio,2022-06-26,Descripción del caso 619,13961.52,Abierto,David,Comentario adicional 69
Proveedor VIP,Medio,2022-02-10,Descripción del caso 566,15365.74,En Proceso,Charlie,Comentario adicional 74
Aprobación Manual,Alto,2022-02-05,Descripción del caso 47,33401.9,Cerrado,Alice,Comentario adicional 30
Proveedor VIP,Medio,2022-05-23,Descripción del caso 465,32148.54,Cerrado,Bob,Comentario adicional 48
Caso de Fuerza Mayor,Bajo,2022-12-10,Descripción del caso 274,35389.2,En Proceso,Alice,Comentario adicional 78
Transacción con Disputa,Alto,2022-05-06,Descripción del caso 168,23650.75,Cerrado,Bob,Comentario adicional 88
Caso de Fuerza Mayor,Bajo,2022-04-28,Descripción del caso 842,2572.91,Cerrado,David,Comentario adicional 35
Proveedor VIP,Bajo,2022-10-18,Descripción del caso 898,36177.8,Abierto,David,Comentario adicional 51
Ajuste Contable,Bajo,2022-05-16,Descripción del caso 143,13084.75,En Proceso,Charlie,Comentario adicional 96
Transacción Internacional Compleja,Alto,2022-07-24,Descripción del caso 371,11746.72,Abierto,David,Comentario adicional 12
Pago Urgente,Bajo,2022-03-20,Descripción del caso 643,8839.12,En Proceso,David,Comentario adicional 77
Proveedor VIP,Medio,2022-07-15,Descripción del caso 611,49809.95,En Proceso,Charlie,Comentario adicional 71
Pago Urgente,Alto,2022-02-28,Descripción del caso 699,44354.63,Cerrado,Charlie,Comentario adicional 15
Excepción Regulatoria,Medio,2022-03-22,Descripción del caso 465,1159.02,En Proceso,Charlie,Comentario adicional 65
Transacción con Disputa,Alto,2022-02-24,Descripción del caso 892,31639.71,En Proceso,Bob,Comentario adicional 20
Caso de Fuerza Mayor,Bajo,2022-10-04,Descripción del caso 977,39152.7,En Proceso,Alice,Comentario adicional 77
Caso de Fuerza Mayor,Medio,2022-01-10,Descripción del caso 115,46525.83,Cerrado,Bob,Comentario adicional 8
Aprobación Manual,Alto,2022-02-10,Descripción del caso 88,36863.47,Abierto,Bob,Comentario adicional 17
Ajuste Contable,Alto,2022-03-26,Descripción del caso 272,26856.02,En Proceso,David,Comentario adicional 28
Aprobación Manual,Alto,2022-06-09,Descripción del caso 409,49762.32,En Proceso,Charlie,Comentario adicional 57
