fecha,proveedor_id,categoria_gasto,monto,método_pago,tiempo_procesamiento,score_cumplimiento,indicadores_economicos,estacionalidad
2020-01-04,1071,Servicios,1261.09,Efectivo,4,0.24,Creciente,Alta
2020-01-01,1060,Tecnología,1083.27,Cheque,5,0.91,Creciente,Alta
2020-01-24,1020,Servicios,1182.43,Cheque,5,0.59,Creciente,Alta
2020-01-09,1082,Materiales,1178.74,Efectivo,7,0.35,Creciente,Alta
2020-01-08,1086,Logística,1414.52,Cheque,4,0.71,Decreciente,Alta
2020-01-08,1074,Tecnología,1422.89,Efectivo,1,0.48,Decreciente,Alta
2020-01-05,1074,Materiales,1126.92,Cheque,5,0.38,Decreciente,Alta
2020-01-24,1087,Logística,1572.66,Efectivo,7,0.71,Decreciente,Alta
2020-01-04,1099,Logística,1189.18,Efectivo,6,0.25,Creciente,Alta
2020-01-22,1023,Servicios,1561.57,Cheque,5,0.33,Estable,Alta
2020-01-24,1002,Materiales,1264.86,Cheque,4,0.43,Creciente,Alta
2020-01-18,1021,Logística,1066.57,Cheque,2,0.25,Estable,Alta
2020-01-03,1052,Tecnología,1230.26,Transferencia,4,0.41,Decreciente,Alta
2020-01-19,1001,Tecnología,1382.02,Transferencia,3,0.57,Creciente,Alta
2020-01-14,1087,Servicios,1406.33,Transferencia,1,0.74,Decreciente,Alta
2020-01-02,1029,Logística,1327.76,Efectivo,8,0.77,Creciente,Alta
2020-01-01,1037,Materiales,1284.14,Cheque,5,0.82,Decreciente,Alta
2020-01-03,1001,Tecnología,1339.28,Efectivo,4,0.74,Estable,Alta
2020-01-07,1063,Logística,1360.16,Transferencia,8,0.68,Estable,Alta
2020-01-08,1059,Logística,1091.64,Cheque,7,0.24,Estable,Alta
2020-01-17,1020,Servicios,1243.15,Efectivo,2,0.4,Creciente,Alta
2020-01-20,1032,Tecnología,1176.27,Cheque,1,0.48,Estable,Alta
2020-01-01,1075,Tecnología,1470.57,Efectivo,4,0.08,Creciente,Alta
2020-01-18,1057,Materiales,1295.95,Cheque,8,0.53,Estable,Alta
2020-01-07,1021,Tecnología,1565.14,Transferencia,2,0.44,Estable,Alta
2020-01-23,1088,Materiales,1258.46,Transferencia,3,0.8,Creciente,Alta
2020-01-21,1048,Tecnología,1477.54,Cheque,1,0.98,Creciente,Alta
2020-01-23,1090,Servicios,1468.05,Efectivo,1,0.56,Estable,Alta
2020-01-18,1058,Tecnología,1128.3,Transferencia,3,0.32,Creciente,Alta
2020-01-14,1041,Materiales,1315.84,Transferencia,5,0.04,Estable,Alta
2020-01-08,1091,Materiales,1414.26,Transferencia,3,0.92,Creciente,Alta
2020-01-15,1059,Servicios,1499.53,Cheque,1,0.92,Decreciente,Alta
2020-01-19,1079,Tecnología,1220.23,Cheque,1,0.25,Decreciente,Alta
2020-01-09,1014,Tecnología,1164.77,Efectivo,8,0.7,Decreciente,Alta
2020-01-26,1061,Servicios,1422.31,Efectivo,2,0.08,Decreciente,Alta
2020-01-28,1061,Tecnología,1473.9,Efectivo,3,0.17,Decreciente,Alta
2020-01-01,1046,Tecnología,1232.14,Cheque,2,0.22,Estable,Alta
2020-01-25,1061,Materiales,1099.68,Cheque,3,0.29,Decreciente,Alta
2020-01-26,1050,Tecnología,1542.64,Efectivo,7,1.0,Decreciente,Alta
2020-01-06,1054,Tecnología,1257.8,Efectivo,1,0.7,Decreciente,Alta
2020-01-23,1063,Servicios,1320.85,Cheque,8,0.38,Decreciente,Alta
2020-01-14,1002,Servicios,1488.7,Efectivo,2,0.74,Creciente,Alta
2020-01-11,1050,Logística,1403.7,Transferencia,3,0.92,Estable,Alta
2020-01-09,1006,Materiales,1434.93,Cheque,9,0.96,Decreciente,Alta
2020-01-05,1020,Tecnología,1158.91,Efectivo,7,0.06,Decreciente,Alta
2020-01-07,1072,Tecnología,1333.28,Cheque,4,0.39,Decreciente,Alta
2020-01-25,1038,Logística,1414.25,Transferencia,5,0.11,Estable,Alta
2020-01-11,1017,Tecnología,1169.13,Cheque,2,0.34,Creciente,Alta
2020-01-04,1003,Materiales,1141.01,Cheque,8,0.17,Estable,Alta
2020-01-03,1088,Logística,1564.49,Cheque,4,0.65,Creciente,Alta
2020-01-13,1059,Materiales,1320.26,Cheque,9,0.39,Decreciente,Alta
2020-01-04,1013,Logística,1186.06,Transferencia,5,0.23,Decreciente,Alta
2020-01-12,1008,Logística,1571.88,Cheque,9,0.27,Estable,Alta
2020-01-28,1089,Servicios,1555.7,Cheque,4,0.36,Estable,Alta
2020-01-12,1052,Materiales,1342.12,Efectivo,5,0.26,Creciente,Alta
2020-01-20,1001,Tecnología,1512.27,Cheque,9,0.45,Creciente,Alta
2020-01-09,1083,Tecnología,1148.23,Efectivo,8,0.03,Estable,Alta
2020-01-26,1091,Materiales,1195.53,Transferencia,3,0.28,Creciente,Alta
2020-01-02,1059,Tecnología,1416.64,Transferencia,1,0.41,Estable,Alta
2020-01-24,1070,Tecnología,1493.4,Transferencia,3,0.6,Creciente,Alta
2020-01-15,1043,Materiales,1498.47,Transferencia,4,0.27,Estable,Alta
2020-01-18,1007,Logística,1261.44,Efectivo,2,0.13,Estable,Alta
2020-01-04,1046,Materiales,1514.96,Cheque,1,0.08,Estable,Alta
2020-01-13,1034,Logística,1495.64,Transferencia,7,0.94,Creciente,Alta
2020-01-03,1077,Tecnología,1540.07,Cheque,8,0.42,Creciente,Alta
2020-01-18,1080,Tecnología,1461.23,Efectivo,7,0.58,Creciente,Alta
2020-01-10,1035,Tecnología,1400.19,Efectivo,5,0.92,Estable,Alta
2020-01-27,1049,Servicios,1353.86,Efectivo,1,0.08,Creciente,Alta
2020-01-21,1003,Logística,1244.53,Transferencia,7,0.88,Creciente,Alta
2020-01-20,1001,Servicios,1542.43,Cheque,7,0.55,Estable,Alta
2020-01-28,1005,Servicios,1560.02,Cheque,9,0.16,Decreciente,Alta
2020-01-12,1053,Materiales,1198.18,Cheque,3,0.41,Estable,Alta
2020-01-19,1003,Servicios,1209.43,Efectivo,9,0.78,Creciente,Alta
2020-01-07,1053,Materiales,1303.99,Transferencia,1,0.48,Estable,Alta
2020-01-23,1092,Materiales,1284.48,Efectivo,1,0.99,Decreciente,Alta
2020-01-03,1062,Servicios,1570.93,Efectivo,4,0.38,Estable,Alta
2020-01-02,1017,Logística,1141.52,Cheque,9,0.75,Creciente,Alta
2020-01-22,1089,Logística,1058.71,Efectivo,6,0.39,Decreciente,Alta
2020-01-08,1043,Logística,1308.33,Cheque,3,0.83,Creciente,Alta
2020-01-25,1033,Logística,1143.04,Transferencia,1,0.57,Decreciente,Alta
2020-01-10,1073,Logística,1241.48,Cheque,4,0.06,Decreciente,Alta
2020-01-03,1061,Servicios,1439.63,Transferencia,9,0.04,Estable,Alta
2020-01-28,1099,Servicios,1427.44,Cheque,3,0.13,Estable,Alta
2020-01-08,1013,Tecnología,1210.84,Efectivo,9,0.01,Creciente,Alta
2020-01-28,1094,Logística,1333.85,Efectivo,7,0.08,Estable,Alta
2020-01-04,1047,Servicios,1316.16,Transferencia,4,0.69,Estable,Alta
2020-01-13,1014,Tecnología,1383.06,Transferencia,3,0.53,Decreciente,Alta
2020-01-09,1071,Logística,1180.62,Transferencia,5,0.75,Estable,Alta
2020-01-15,1077,Materiales,1358.68,Cheque,5,0.91,Decreciente,Alta
2020-01-21,1086,Tecnología,1562.77,Cheque,3,0.59,Decreciente,Alta
2020-01-27,1061,Servicios,1304.58,Transferencia,9,0.73,Decreciente,Alta
2020-01-12,1039,Materiales,1524.58,Efectivo,4,0.76,Creciente,Alta
2020-01-06,1084,Materiales,1277.12,Cheque,5,0.38,Creciente,Alta
2020-01-12,1079,Materiales,1232.88,Cheque,4,0.24,Creciente,Alta
2020-01-12,1081,Tecnología,1387.66,Cheque,5,0.21,Decreciente,Alta
2020-01-07,1052,Servicios,1400.15,Transferencia,7,0.25,Creciente,Alta
2020-01-22,1023,Materiales,1502.58,Transferencia,9,0.27,Creciente,Alta
2020-01-09,1025,Logística,1169.99,Transferencia,7,0.21,Estable,Alta
2020-01-23,1088,Materiales,1311.11,Transferencia,5,0.88,Creciente,Alta
2020-01-22,1059,Materiales,1349.31,Transferencia,7,0.76,Creciente,Alta
2020-01-21,1040,Tecnología,1452.42,Efectivo,5,0.05,Decreciente,Alta
2020-01-03,1028,Tecnología,1072.1,Efectivo,3,0.27,Decreciente,Alta
2020-01-20,1014,Servicios,1570.98,Transferencia,7,0.02,Decreciente,Alta
2020-01-21,1044,Logística,1295.77,Cheque,2,0.5,Decreciente,Alta
2020-01-06,1064,Tecnología,1195.89,Transferencia,9,0.48,Decreciente,Alta
2020-01-18,1088,Materiales,1512.72,Efectivo,1,0.83,Decreciente,Alta
2020-01-24,1070,Servicios,1441.49,Efectivo,6,0.31,Creciente,Alta
2020-01-08,1008,Materiales,1549.22,Cheque,7,0.82,Decreciente,Alta
2020-01-06,1087,Materiales,1222.74,Efectivo,8,0.97,Decreciente,Alta
2020-01-15,1000,Tecnología,1339.22,Transferencia,9,0.09,Estable,Alta
2020-01-13,1007,Servicios,1349.46,Cheque,2,0.79,Creciente,Alta
