ID_proveedor,nombre,tipo_empresa,país,categoría_riesgo,condiciones_negociadas,descuentos_especiales,límites_crédito,histórico_performance,contactos_emergencia,certificaciones
1,Proveedor_1,Grande,Brasil,Alto,Net 60,5,39349,"{'on_time_delivery': '100%', 'quality_issues': 5, 'customer_complaints': 0}",contacto_1@empresa.com,"['ISO 14001', 'None', 'ISO 9001']"
2,Proveedor_2,Pequeña,Argentina,Medio,Net 90,5,10713,"{'on_time_delivery': '88%', 'quality_issues': 1, 'customer_complaints': 3}",contacto_2@empresa.com,['ISO 45001']
3,Proveedor_3,Grande,Argentina,Alto,Net 30,15,9804,"{'on_time_delivery': '84%', 'quality_issues': 6, 'customer_complaints': 1}",contacto_3@empresa.com,['ISO 14001']
4,Proveedor_4,Grande,Canadá,Alto,Net 60,0,15136,"{'on_time_delivery': '97%', 'quality_issues': 2, 'customer_complaints': 9}",contacto_4@empresa.com,"['OHSAS 18001', 'ISO 45001', 'None']"
5,Proveedor_5,Pequeña,Argentina,Medio,Net 30,0,5009,"{'on_time_delivery': '93%', 'quality_issues': 0, 'customer_complaints': 0}",contacto_5@empresa.com,"['ISO 14001', 'OHSAS 18001', 'ISO 9001']"
6,Proveedor_6,Pequeña,Brasil,Bajo,Net 30,5,24255,"{'on_time_delivery': '82%', 'quality_issues': 1, 'customer_complaints': 3}",contacto_6@empresa.com,"['ISO 9001', 'ISO 45001', 'None']"
7,Proveedor_7,Grande,Argentina,Medio,Net 60,10,28793,"{'on_time_delivery': '96%', 'quality_issues': 4, 'customer_complaints': 0}",contacto_7@empresa.com,"['ISO 14001', 'None']"
8,Proveedor_8,Mediana,Canadá,Bajo,Net 30,5,34548,"{'on_time_delivery': '97%', 'quality_issues': 1, 'customer_complaints': 10}",contacto_8@empresa.com,"['OHSAS 18001', 'None']"
9,Proveedor_9,Grande,Canadá,Alto,Net 90,0,42892,"{'on_time_delivery': '97%', 'quality_issues': 5, 'customer_complaints': 3}",contacto_9@empresa.com,['ISO 14001']
10,Proveedor_10,Grande,Brasil,Bajo,Net 30,15,6015,"{'on_time_delivery': '94%', 'quality_issues': 4, 'customer_complaints': 4}",contacto_10@empresa.com,['ISO 14001']
